Mnemonic:,XMBASDRF.IUSA,XMBASDRV.IUSA,XMBASDRC.IUSA,XMBASDR.IUSA,LBR.IUSA,YPQ.IUSA,GDPQ.IUSA,XHOWNRQ.IUSA,XHOFHOPIQ.IUSA
9/30/2014,6.18,3.43,4.38,4.65,6.07,15110691.54,17721657,64.4,341.17
12/31/2014,6.03,3.38,4.25,4.52,5.7,15308857.96,17849912,64,344.02
3/31/2015,5.68,3.19,3.99,4.24,5.53,15466874.42,17984178,63.7,347.51
6/30/2015,5.5,2.92,3.68,3.95,5.43,15675676.64,18219405,63.4,353.49
9/30/2015,5.39,2.85,3.23,3.57,5.1,15824699.38,18344713,63.7,358.88
12/31/2015,5.37,2.78,3.06,3.44,5.03,15869717.56,18350825,63.8,362.04
3/31/2016,4.87,2.51,3.01,3.29,4.93,15928162.3,18424283,63.5,365.36
6/30/2016,4.43,2.46,2.86,3.11,4.9,16020935.3,18637253,62.9,372.41
9/30/2016,4.38,2.29,2.7,2.96,4.9,16166933.56,18806743,63.5,379.06
12/31/2016,4.56,2.4,2.88,3.13,4.77,16330512.84,18991883,63.7,382.51
3/31/2017,3.99,2.13,2.55,2.76,4.57,16599641.32,19190431,63.6,385.83
6/30/2017,3.78,2.03,2.25,2.49,4.37,16742829.81,19356649,63.7,395.29
9/30/2017,3.86,2.08,2.28,2.52,4.3,16918886.72,19611704,63.9,401.97
12/31/2017,4.78,2.43,2.55,2.91,4.13,17219066.16,19918910,64.2,405.83
3/31/2018,4.22,2.22,2.32,2.61,4.07,17535505.21,20163159,64.2,411.83
6/30/2018,3.86,2.03,2,2.3,3.93,17720035.9,20510177,64.3,421.04
9/30/2018,3.74,1.95,1.82,2.13,3.77,17918889.14,20749752,64.4,427.32
12/31/2018,3.76,1.96,1.71,2.06,3.8,18077709.76,20897804,64.8,429.86
3/31/2019,3.45,1.87,1.65,1.96,3.87,18351263.12,21098827,64.2,434.58
6/30/2019,3.43,1.81,1.65,1.95,3.63,18550204.3,21340267,64.1,442.71
9/30/2019,3.39,1.87,1.46,1.81,3.63,18677189.3,21542540,64.8,447.87
12/31/2019,3.47,1.92,1.37,1.76,3.53,18817590.91,21729124,65.1,451.65
